Street_Name,Total_Crashes,Fatal_Crashes,Serious_Injuries,Dominant_Jurisdiction,Mixed_Jurisdiction,SPDLIMIT,LANES
N HIGHLAND ST,3,0,2,City of Memphis,False,40.0,5
VOLLINTINE AVE,3,0,0,City of Memphis,False,35.0,4
CHIMNEYROCK BLVD,3,0,0,City of Memphis,False,30.0,2
E PERSON AVE,3,0,0,City of Memphis,False,35.0,4
HESTER RD,3,0,0,City of Memphis,False,35.0,2
E E H CRUMP BLVD,3,0,2,TDOT state route,False,40.0,6
E ROLLINS RD,3,0,2,City of Memphis,False,30.0,2
KNIGHT RD,3,0,1,City of Memphis,False,35.0,2
PEABODY PL,3,0,1,City of Memphis,False,30.0,2
SHELBY OAKS DR,3,0,2,City of Memphis,False,40.0,4
JIM MCGEHEE PKWY,3,0,2,City of Memphis,False,30.0,2
W SHELBY DR,2,1,1,City of Memphis,False,35.0,2
S SHADY GROVE RD,2,1,0,City of Memphis,False,35.0,5
N HOLMES ST,2,1,1,City of Memphis,False,35.0,2
NEW TCHULAHOMA RD,2,1,0,City of Memphis,False,45.0,4
GRAND ST,2,1,0,City of Memphis,False,30.0,2
DECATUR ST,2,1,0,City of Memphis,False,30.0,2
W LEVI RD,2,1,1,City of Memphis,False,35.0,2
ELDRIDGE AVE,2,1,0,City of Memphis,False,30.0,2
N BELLEVUE BLVD,2,1,0,City of Memphis,False,35.0,2
N HOUSTON LEVEE RD,2,0,0,City of Memphis,False,40.0,3
STATE ROUTE 385 W,2,0,1,TDOT state route,False,65.0,3
WARING RD,2,0,0,City of Memphis,False,35.0,2
S LAUDERDALE ST,2,0,1,City of Memphis,False,30.0,2
LOONEY AVE,2,0,0,City of Memphis,False,30.0,2
GREENLAW AVE,2,0,0,City of Memphis,False,30.0,2
COLEMAN RD,2,0,0,City of Memphis,False,45.0,7
MONROE AVE,2,0,0,City of Memphis,False,30.0,2
N MAIN ST,2,0,0,City of Memphis,False,35.0,1
AUSTIN PEAY HWY TO JAMES RD,2,0,1,Interstate ramp,False,45.0,1
BOWEN AVE,2,0,0,City of Memphis,False,30.0,2
OUTLAND RD,2,0,1,City of Memphis,False,40.0,5
HICKORY HILL RD,2,0,1,City of Memphis,False,45.0,6
RHODES AVE,2,0,0,City of Memphis,False,35.0,4
S GOODLETT ST,2,0,0,City of Memphis,False,40.0,4
N MANASSAS ST,2,0,0,City of Memphis,False,30.0,3
PERSHING AVE,2,0,1,City of Memphis,False,30.0,2
ELLISTON RD,2,0,2,City of Memphis,False,35.0,2
GAYOSO AVE,2,0,1,TDOT state route,True,30.0,1
STATE ROUTE 385 E,2,0,2,TDOT state route,False,65.0,3
PERKINS ROAD EXT,2,0,0,City of Memphis,False,35.0,5
STAGE JAMES RD,2,0,0,City of Memphis,False,45.0,7
