Street_Name,Total_Crashes,Fatal_Crashes,Serious_Injuries,Dominant_Jurisdiction,Mixed_Jurisdiction,SPDLIMIT,LANES
VOLLINTINE AVE,3,0,0,City of Memphis,False,35.0,4
JIM MCGEHEE PKWY,3,0,2,City of Memphis,False,30.0,2
E ROLLINS RD,3,0,2,City of Memphis,False,30.0,2
N HIGHLAND ST,3,0,2,TDOT,True,40.0,5
AUBURN RD,3,0,1,City of Memphis,False,35.0,2
JAMES RD,3,0,2,City of Memphis,False,45.0,4
ROYAL OAKS CV,3,0,1,City of Memphis,False,35.0,2
SHELBY OAKS DR,3,0,2,City of Memphis,False,40.0,4
KNIGHT RD,3,0,1,City of Memphis,False,35.0,2
DEXTER RD,3,0,1,City of Memphis,True,35.0,4
STAGE RD,3,0,0,TDOT,False,45.0,6
HESTER RD,3,0,0,City of Memphis,True,35.0,2
DUNN AVE,3,0,0,City of Memphis,False,30.0,2
DECATUR ST,2,1,0,City of Memphis,False,30.0,2
MARLIN RD,2,1,1,City of Memphis,False,35.0,2
W SHELBY DR,2,1,1,City of Memphis,False,35.0,2
N HOLMES ST,2,1,1,City of Memphis,False,35.0,2
ELDRIDGE AVE,2,1,0,City of Memphis,False,30.0,2
W LEVI RD,2,1,1,City of Memphis,False,35.0,2
N BELLEVUE BLVD,2,1,0,City of Memphis,True,35.0,2
NEW TCHULAHOMA RD,2,1,0,City of Memphis,False,45.0,4
S SHADY GROVE RD,2,1,0,TDOT,True,35.0,5
HUDSON ST,2,1,0,City of Memphis,False,30.0,2
TENNYSON RD,2,0,0,City of Memphis,False,30.0,2
BREEDLOVE ST,2,0,1,City of Memphis,False,35.0,2
WASHINGTON AVE,2,0,1,City of Memphis,True,30.0,2
LESTER ST,2,0,1,City of Memphis,True,30.0,2
STATE ROUTE 385 E,2,0,2,TDOT,False,65.0,3
BROWN AVE,2,0,0,City of Memphis,False,30.0,2
WELLONS AVE,2,0,1,City of Memphis,False,30.0,2
HAYNES ST,2,0,0,City of Memphis,False,30.0,2
COLEMAN RD,2,0,0,TDOT,True,45.0,7
N HOUSTON LEVEE RD,2,0,0,City of Memphis,False,40.0,3
BOWEN AVE,2,0,0,City of Memphis,False,30.0,2
S GOODLETT ST,2,0,0,TDOT,True,40.0,4
TUTWILER AVE,2,0,0,City of Memphis,False,35.0,2
WALKER AVE,2,0,0,City of Memphis,False,35.0,2
N TREZEVANT ST,2,0,1,City of Memphis,False,30.0,2
N CLEVELAND ST,2,0,0,City of Memphis,False,35.0,4
