MstrRecNbrTxt,CollisionDate,CollisionDteTime,YearNmb,Month,DayOfWeek,Hour,Latitude,Longitude,InjuryClass,PersonType,NonMotoristLocation,RelationToJunction,LightCondition,MannerOfCollision,FirstHarmfulEvent,VictimsInCrash
301019033,2025-05-19,2025-05-19 09:00:00,2025,5,Monday,9,35.229091,-89.810377,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300996895,2025-01-17,2025-01-17 10:29:00,2025,1,Friday,10,35.135574,-89.96227,Suspected Serious Injury,Pedestrian,Intersection-In Crosswalk,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301021512,2025-05-30,2025-05-30 18:05:00,2025,5,Friday,18,35.03755,-89.79731,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301023740,2025-06-17,2025-06-17 03:50:00,2025,6,Tuesday,3,35.008976,-89.9995,No Injury,Pedestrian,Not Intersection-Outside Traffic,Through Roadway,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Other,2
301023561,2025-06-09,2025-06-09 18:37:00,2025,6,Monday,18,35.009644,-89.84298,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301026096,2025-06-27,2025-06-27 21:30:00,2025,6,Friday,21,35.059555,-90.0246,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,OtherLocation,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301025660,2025-06-28,2025-06-28 04:39:00,2025,6,Saturday,4,35.167934,-90.00019,Fatal,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection,Dark-Unknown Lighting,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301032076,2025-08-01,2025-08-01 10:30:00,2025,8,Friday,10,35.160454,-89.99635,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300983611,2024-11-02,2024-11-02 12:54:00,2024,11,Saturday,12,35.233969,-89.80075,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301013416,2025-04-20,2025-04-20 15:02:00,2025,4,Sunday,15,35.195849,-89.871203,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301026847,2025-07-04,2025-07-04 21:24:00,2025,7,Friday,21,35.039665,-90.079409,Possible Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301034356,2025-08-18,2025-08-18 04:45:00,2025,8,Monday,4,35.148262,-90.043564,Suspected Minor Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300991906,2024-12-04,2024-12-04 19:25:00,2024,12,Wednesday,19,35.148996,-90.048507,Fatal,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300962694,2024-06-13,2024-06-13 01:16:00,2024,6,Thursday,1,35.159723,-89.858915,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301000264,2025-02-04,2025-02-04 02:03:00,2025,2,Tuesday,2,35.035536,-89.797829,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection-Related,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301030303,2025-07-26,2025-07-26 04:59:00,2025,7,Saturday,4,35.170383,-89.86749,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301031687,2025-08-02,2025-08-02 23:07:00,2025,8,Saturday,23,35.104187,-90.05545,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Other,1
301031510,2025-08-01,2025-08-01 02:15:00,2025,8,Friday,2,35.09891,-90.06958,Possible Injury,Pedestrian,Not Intersection-Outside Traffic,AccelDecelLane,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301034223,2025-08-16,2025-08-16 23:05:00,2025,8,Saturday,23,35.090984,-89.840256,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301014505,2025-04-26,2025-04-26 12:50:00,2025,4,Saturday,12,35.072969,-90.027998,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301031268,2025-07-31,2025-07-31 14:10:00,2025,7,Thursday,14,35.04631,-89.90489,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301033376,2025-08-12,2025-08-12 07:18:00,2025,8,Tuesday,7,35.062172,-89.91987,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
