MstrRecNbrTxt,CollisionDate,CollisionDteTime,YearNmb,Month,DayOfWeek,Hour,Latitude,Longitude,InjuryClass,PersonType,NonMotoristLocation,RelationToJunction,LightCondition,MannerOfCollision,FirstHarmfulEvent,VictimsInCrash,InMemphis,Jurisdiction,StateRoute_NAME,StateRoute_F_System,StateRoute_SPDLIMIT,StateRoute_LANES,StateRoute_ALTNAME_1,StateRoute_Council_District,DistToStateRoute_m,Street_Name,DistToStreet_m,Street_SPDLIMIT,Street_LANES,Street_ONEWAY,Street_CITY_L,Street_COUNTY_L,Jurisdiction_prev,Seg_OBJECTID,DistToSeg_m
301026847,7/4/2025,7/4/2025 21:24,2025,7,Friday,21,35.039665,-90.079409,Possible Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,733.8647761,LILLIAN DR,0.024364278,30,2,B,MEMPHIS,SHELBY,City of Memphis,27037,0.024364278
301034356,8/18/2025,8/18/2025 4:45,2025,8,Monday,4,35.148262,-90.043564,Suspected Minor Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,N DANNY THOMAS BLVD,Principal Arterial,35,7,1,7,1.328284309,POPLAR AVE,0.034022355,35,5,B,MEMPHIS,SHELBY,TDOT,50319,0.034022355
300991906,12/4/2024,12/4/2024 19:25,2024,12,Wednesday,19,35.148996,-90.048507,Fatal,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,TDOT state route,N THIRD ST,Minor Arterial,35,3,3,6,2.567089213,N B B KING BLVD,0.763108313,35,3,FT,MEMPHIS,SHELBY,TDOT,50301,0.763108313
300962694,6/13/2024,6/13/2024 1:16,2024,6,Thursday,1,35.159723,-89.858915,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,1541.377893,DOVECREST RD,39.18290254,30,2,B,MEMPHIS,SHELBY,City of Memphis,76111,39.18290254
301030303,7/26/2025,7/26/2025 4:59,2025,7,Saturday,4,35.170383,-89.86749,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,184.4845471,SYCAMORE VIEW RD,54.69043662,45,7,B,MEMPHIS,SHELBY,City of Memphis,53753,54.69043662
301031687,8/2/2025,8/2/2025 23:07,2025,8,Saturday,23,35.104187,-90.05545,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Other,1,TRUE,TDOT state route,S THIRD ST,Principal Arterial,40,4,14,6,0.489284022,S THIRD ST,0.123839134,40,4,B,MEMPHIS,SHELBY,TDOT,46928,0.123839134
301031510,8/1/2025,8/1/2025 2:15,2025,8,Friday,2,35.09891,-90.06958,Possible Injury,Pedestrian,Not Intersection-Outside Traffic,AccelDecelLane,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,1269.823507,SILVERAGE AVE,19.88381214,30,2,B,MEMPHIS,SHELBY,City of Memphis,4659,19.88381214
301034223,8/16/2025,8/16/2025 23:05,2025,8,Saturday,23,35.090984,-89.840256,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,812.728037,LARCH LN,0.024511828,30,2,B,MEMPHIS,SHELBY,City of Memphis,41328,0.024511828
301014505,4/26/2025,4/26/2025 12:50,2025,4,Saturday,12,35.072969,-90.027998,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,Interstate (TDOT),,,,,,,645.9699922,INTERSTATE 240 W,0.31748113,65,3,FT,MEMPHIS,SHELBY,City of Memphis,39636,0.31748113
301031268,7/31/2025,7/31/2025 14:10,2025,7,Thursday,14,35.04631,-89.90489,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,1369.197112,CROMWELL AVE,0.065969939,35,2,B,MEMPHIS,SHELBY,City of Memphis,2156,0.065969939
301033376,8/12/2025,8/12/2025 7:18,2025,8,Tuesday,7,35.062172,-89.91987,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,1019.013758,SHEFFIELD AVE,58.86046773,30,2,B,MEMPHIS,SHELBY,City of Memphis,2104,58.86046773
300968447,7/31/2024,7/31/2024 5:45,2024,7,Wednesday,5,35.038504,-89.917171,Fatal,Pedestrian,Intersection-On Roadway Crosswalk availability Unknown,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,LAMAR AVE,Principal Arterial,55,2,4,3,3.536120942,E RAINES RD,0.173655633,40,2,TF,MEMPHIS,SHELBY,TDOT,52538,0.173655633
300978520,10/4/2024,10/4/2024 22:18,2024,10,Friday,22,35.107965,-89.966871,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,1218.356804,PARK AVE,2.290723687,35,4,B,MEMPHIS,SHELBY,City of Memphis,51065,2.290723687
301033148,8/8/2025,8/8/2025 23:56,2025,8,Friday,23,35.143787,-90.035126,Suspected Serious Injury,Pedestrian,Intersection-In Crosswalk,AccelDecelLane,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,557.6248705,ADAMS AVE,0.014875412,30,2,B,MEMPHIS,SHELBY,City of Memphis,3556,0.014875412
