Street_Name,signals,own
RIVERDALE BEND RD,8,City
BRIERVIEW ST,8,City
BUSINESS PARK DR,8,City
EASLEY AVE,8,City
N SECOND ST,8,TDOT state route
NEW RIVERDALE RD,8,City
AMBERGATE LN,8,City
S PRESCOTT ST,8,City
S WELLINGTON ST,8,City
CHAMPION HILLS DR,8,City
COMANCHE RD,8,City
MOUNT MORIAH ROAD EXT,8,City
FISCHER STEEL RD,8,City
ROWAN LN,7,City
ORCHI RD,7,City
LONELY ST,7,City
BROTHER BLVD,7,City
KATE BOND RD,7,City
AARON BRENNER DR,7,City
CHELSEA AVE,7,City
STAGE AVE,6,City
DECATUR ST,6,City
STARNES CV,6,City
40 W TO SMITH AVE,6,Limited-access
FINLEY RD,6,City
40 W TO WHITTEN RD,6,Limited-access
MARTHA ST,6,City
SPRINGDALE ST,6,City
MEAGHER ST,6,City
LAFAYETTE ST,6,City
MEMPHIS DEPOT PKWY,6,City
MOUNT MORIAH RD TO 240 E OR 385 E,6,Limited-access
ESTATE DR,6,City
TILLMAN ST,6,City
URGENT AVE,6,City
240 W TO GETWELL RD,6,Limited-access
240 E TO WALNUT GROVE RD,6,Limited-access
240 W TO MOUNT MORIAH RD,6,Limited-access
240 W TO PERKINS RD,6,Limited-access
385 E TO RIDGEWAY RD,6,Limited-access
WHITTEN RD TO 40W,6,Limited-access
40 E TO WHITTEN RD,6,Limited-access
BURNING TREE LN,6,City
WALNUT GROVE RD TO 240 E,6,Limited-access
240 E TO MOUNT MORIAH RD,6,Limited-access
40 W TO APPLING RD,6,Limited-access
WHITTEN RD TO 40E,6,Limited-access
40 E TO WATKINS ST,6,Limited-access
S ALICIA DR,6,City
S BARKSDALE ST,6,City
S CENTER ST,6,City
BISHOPS BRIDGE RD,6,City
S HOLLYWOOD ST,6,City
S DANNY THOMAS BLVD TO MADISON AVE,6,Limited-access
APPLING RD TO 40 W,6,Limited-access
BARTLETT RD,6,City
PETERSON LAKE RD,6,City
PERKINS RD TO 240 W,6,Limited-access
S GERMANTOWN PKWY,6,TDOT state route
RIVERDALE RD TO 385 N,6,Limited-access
E 72 TO 385 W,6,Limited-access
COVINGTON PIKE TO 40W,6,Limited-access
CRESTRIDGE RD,6,City
N GERMANTOWN RD,6,City
N CLEVELAND ST,6,City
PERKINS RD TO 240 E,6,Limited-access
OAK COURT DR,6,City
PETE MITCHELL RD,6,City
S MENDENHALL RD TO MOUNT MORIAH RD,6,Limited-access
PRIORITY AVE,6,City
ARTHURWOOD CV,6,City
W LEVI RD,6,City
W HOLMES RD,6,City
40 E TO COVINGTON PIKE,6,Limited-access
A W WILLIS AVE,6,TDOT state route
GATEWAY DR,6,City
INTERNATIONAL PLACE DR,6,City
WINCHESTER RD TO NEW GETWELL RD,6,Limited-access
40 E TO HOLLYWOOD ST,6,Limited-access
FORD RD,6,City
SYCAMORE VIEW TO 40 E,5,Limited-access
WHITEHAVEN LN,5,City
TUGGLE RD,5,City
COLONIAL RD,5,City
GIACOSA PL,5,City
FRONTAGE RD,5,City
HOLMAN PL OR NEW GETWELL TO WINCHESTER,5,Limited-access
385 N TO RIDGEWAY RD,5,Limited-access
REPUBLICAN DR,5,City
PENDLETON ST,5,City
SHADYAC AVE,5,City
CHEROKEE BLVD,5,City
40 W TO HOLLYWOOD ST,5,Limited-access
S BELVEDERE BLVD,5,City
385 N TO WINCHESTER RD,4,Limited-access
JAMES RD TO RALEIGH MILLINGTON RD,4,Limited-access
JACKSON AVE TO 240 N,4,Limited-access
INTERSTATE 55 S,4,Limited-access
INTERSTATE 55 N,4,Limited-access
DAVIES PLANTATION RD,4,City
SPOTTSWOOD AVE,4,City
SPRINGBROOK AVE,4,City
STATE ROUTE 385 E,4,City
55 N TO E SHELBY DR,4,Limited-access
MARSH AVE,4,City
MAYNARD WAY,4,City
MEADOW TRAIL DR,4,City
MALCO WAY,4,City
TIMBER CREEK DR,4,City
KNIGHT RD,4,City
LOWELL AVE,4,City
FARONIA RD,4,City
JOHNSON RD,4,City
EASTLEY ST,4,City
MCCAIN ST,4,City
TRUSE PKWY,4,City
UNION AVENUE EXT,4,City
VALLEYBROOK DR,4,City
385 S TO RIVERDALE RD,4,Limited-access
40 E TO SYCAMORE VIEW RD,4,Limited-access
WATKINSST TO 300 W OR 40 W,4,Limited-access
40 E TO MADISON AVE,4,Limited-access
385 S TO WINCHESTER RD,4,Limited-access
GRAND STEEPLE DR,4,City
WINCHESTER RD TO 385 W,4,Limited-access
JETWAY DR,4,City
WINCHESTER RD TO 385 S,4,Limited-access
COUGHLIN DR,4,City
COLLIERVILLE ARLINGTON RD,4,City
COLLIERVILLE RD,4,City
E US HIGHWAY 72,4,City
PURPLE JETS DR,4,City
RIDGE MEADOW PKWY,4,City
S WALNUT BEND RD,4,City
AUSTIN PEAY HWY TO JAMES RD,4,Limited-access
N DISTRIPLEX DR,4,City
CRUMPLER RD,4,City
N COOPER ST,4,City
N HOUSTON LEVEE RD,4,City
NONCONNAH BLVD,4,City
N MANSFIELD ST,4,City
NEW GETWELL RD TO LAMAR AVE,4,Limited-access
NEW BYHALIA RD,4,City
N YATES RD,4,City
NAVY RD,4,City
CROMWELL AVE,4,City
N BELVEDERE BLVD,4,City
N WATKINS ST TO 300 W OR 40 W,4,Limited-access
RIVERDALE RD TO 385 S,4,Limited-access
BYHALIA RD,4,City
S MCNEIL ST,4,City
CHICKERING LN,4,City
PRESCOTT BLVD,4,City
RIDGEWAY CTR PKWY,4,City
WARFORD ST,4,City
40 W TO COVINGTON PIKE,4,Limited-access
40 W TO JACKSON AVE,4,Limited-access
W US HIGHWAY 72,4,City
385 N TO KIRBY RD,4,Limited-access
240 W TO S PRESCOTT ST,4,Limited-access
240 S TO NORRIS RD,4,Limited-access
240 N TO LAMAR AVE,4,Limited-access
240 N TO JACKSON AVE,4,Limited-access
