MstrRecNbrTxt,CollisionDate,CollisionDteTime,YearNmb,Month,DayOfWeek,Hour,Latitude,Longitude,InjuryClass,PersonType,NonMotoristLocation,RelationToJunction,LightCondition,MannerOfCollision,FirstHarmfulEvent,VictimsInCrash,InMemphis,Jurisdiction,StateRoute_NAME,StateRoute_F_System,StateRoute_SPDLIMIT,StateRoute_LANES,StateRoute_ALTNAME_1,StateRoute_Council_District,DistToStateRoute_m,Jurisdiction_prev
300964552,2024-07-02,2024-07-02 22:59:00,2024,7,Tuesday,22,35.063282,-90.07291,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,SharedUsePathOrTrail,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,1247.0468003728583,City of Memphis
301065988,2026-02-19,2026-02-19 08:40:00,2026,2,Thursday,8,35.104794,-90.00043,Suspected Minor Injury,Pedestrian,Intersection-Not on Roadway,Through Roadway,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,993.5494444310016,City of Memphis
301066234,2026-02-20,2026-02-20 19:48:00,2026,2,Friday,19,35.05938,-89.92223,Suspected Minor Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,796.0505300302609,City of Memphis
301066238,2026-02-20,2026-02-20 19:00:00,2026,2,Friday,19,35.243095,-89.92586,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection-Related,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,2,True,City of Memphis,,,,,,,2712.985733440028,City of Memphis
301066825,2026-02-20,2026-02-20 08:25:00,2026,2,Friday,8,35.205045,-89.859643,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,False,Suburban-Shelby,,,,,,,,Suburban-Shelby
301064481,2026-02-10,2026-02-10 18:45:00,2026,2,Tuesday,18,35.13938,-89.95824,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,513.9671138283272,City of Memphis
301042813,2025-10-02,2025-10-02 20:05:00,2025,10,Thursday,20,35.11538,-89.99917,Fatal,Pedestrian,Intersection-Not on Roadway,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,2,True,TDOT,LAMAR AVE,Principal Arterial,40.0,4.0,4,4.0,3.790706622813512,TDOT
301066599,2026-02-23,2026-02-23 10:10:00,2026,2,Monday,10,35.148514,-90.04872,Possible Injury,Pedestrian,Intersection-Not on Roadway,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,TDOT,N THIRD ST,Minor Arterial,35.0,3.0,3,6.0,1.8100462640199384,TDOT
301064499,2026-02-10,2026-02-10 17:00:00,2026,2,Tuesday,17,35.15055,-89.97693,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,2,True,TDOT,SUMMER AVE,Principal Arterial,35.0,5.0,1,5.0,4.809049076136353,TDOT
301068787,2026-03-07,2026-03-07 21:25:00,2026,3,Saturday,21,35.107857,-89.962135,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Unknown Lighting,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,1471.317336408911,City of Memphis
